,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CostPerConv_Total,CostPerConv_Approved,CPM
256,776780,936,115561,40-44,0,2,3812,2,3.049999952,1,0,0.0525,1.53,3.05,3.049999952,0.8
446,950495,936,123509,45-49,0,21,1909,1,0.980000019,1,0,0.0524,0.98,0.98,0.980000019,0.51
203,748314,936,111020,45-49,1,31,7821,4,6.340000153,1,1,0.0511,1.59,6.34,6.34,0.81
166,747489,936,110882,40-44,0,2,4016,2,1.480000049,1,1,0.0498,0.74,1.48,1.48,0.37
510,951837,936,123733,45-49,1,20,2077,1,1.50999999,1,1,0.0481,1.51,1.51,1.51,0.73
330,779106,936,115962,35-39,1,30,14670,7,9.410000324,1,0,0.0477,1.34,9.41,9.410000324,0.64
494,951464,936,123671,45-49,1,16,20997,10,11.94999981,1,0,0.0476,1.20,11.95,11.94999981,0.57
504,951715,936,123713,45-49,1,64,10677,5,7.269999981,1,0,0.0468,1.45,7.27,7.269999981,0.68
124,737524,936,109601,40-44,0,30,2148,1,1.580000043,1,1,0.0466,1.58,1.58,1.58,0.74
505,951756,936,123720,35-39,1,22,2189,1,0.409999996,1,0,0.0457,0.41,0.41,0.409999996,0.19
142,738436,936,109820,40-44,1,19,9112,4,5.460000038,1,1,0.0439,1.37,5.46,5.46,0.6
478,951225,936,123631,35-39,1,22,4621,2,3.25,1,1,0.0433,1.63,3.25,3.25,0.7
513,951856,936,123736,30-34,1,20,4626,2,2.099999905,2,0,0.0432,1.05,1.05,2.099999905,0.45
113,736869,936,109448,30-34,0,2,2338,1,0.239999995,1,0,0.0428,0.24,0.24,0.239999995,0.1
109,735247,936,108827,45-49,1,20,14257,6,8.789999962,1,0,0.0421,1.47,8.79,8.789999962,0.62
316,778556,936,115870,40-44,0,32,9735,4,4.130000114,1,1,0.0411,1.03,4.13,4.13,0.42
186,747991,936,110966,35-39,1,25,4868,2,2.420000076,1,0,0.0411,1.21,2.42,2.420000076,0.5
421,782541,936,116569,40-44,1,28,7337,3,4.079999924,1,0,0.0409,1.36,4.08,4.079999924,0.56
415,782228,936,116517,40-44,1,63,12318,5,6.340000153,1,1,0.0406,1.27,6.34,6.34,0.51
255,776725,936,115552,40-44,0,23,2479,1,1.25999999,1,0,0.0403,1.26,1.26,1.25999999,0.51
215,776405,936,115498,45-49,1,21,40126,16,25.86000001,1,0,0.0399,1.62,25.86,25.86000001,0.64
213,776373,936,115493,45-49,1,25,10194,4,4.590000033,2,1,0.0392,1.15,2.295,4.59,0.45
502,951677,936,123706,35-39,1,27,2563,1,1.480000019,1,0,0.039,1.48,1.48,1.480000019,0.58
69,734421,936,108690,35-39,0,27,10332,4,5.75,1,0,0.0387,1.44,5.75,5.75,0.56
459,950770,936,123555,30-34,0,28,7780,3,4.329999924,2,2,0.0386,1.44,2.165,2.165,0.56
462,950776,936,123556,35-39,0,28,2633,1,1.070000052,1,0,0.038,1.07,1.07,1.070000052,0.41
386,781305,936,116363,35-39,1,27,18421,7,10.07999992,1,0,0.038,1.44,10.08,10.07999992,0.55
487,951400,936,123660,45-49,1,10,24028,9,12.39000034,2,0,0.0375,1.38,6.195,12.39000034,0.52
318,778600,936,115878,40-44,1,22,10750,4,5.389999866,1,0,0.0372,1.35,5.39,5.389999866,0.5
515,952001,936,123760,45-49,1,10,5447,2,2.960000038,1,0,0.0367,1.48,2.96,2.960000038,0.54
396,781606,936,116413,35-39,0,20,8200,3,3.919999957,1,0,0.0366,1.31,3.92,3.919999957,0.48
406,782001,936,116479,30-34,0,24,5475,2,2.730000019,1,1,0.0365,1.37,2.73,2.73,0.5
486,951392,936,123659,30-34,1,28,2749,1,1.389999986,1,0,0.0364,1.39,1.39,1.389999986,0.51
264,776861,936,115574,45-49,0,7,16461,6,9.21999979,1,0,0.0364,1.54,9.22,9.21999979,0.56
70,734427,936,108691,35-39,0,28,8259,3,3.980000019,1,0,0.0363,1.33,3.98,3.980000019,0.48
514,951941,936,123750,30-34,1,28,2764,1,1.559999943,1,1,0.0362,1.56,1.56,1.56,0.56
376,780974,936,116303,40-44,1,32,8316,3,4.569999933,1,1,0.0361,1.52,4.57,4.57,0.55
163,747401,936,110867,35-39,0,22,2793,1,0.980000019,1,1,0.0358,0.98,0.98,0.98,0.35
189,748014,936,110970,35-39,1,29,11182,4,4.449999809,1,0,0.0358,1.11,4.45,4.449999809,0.4
263,776840,936,115571,35-39,0,36,2797,1,1.289999962,1,0,0.0358,1.29,1.29,1.289999962,0.46
283,777495,936,115693,40-44,0,19,19581,7,10.42999983,2,0,0.0357,1.49,5.215,10.42999983,0.53
92,734968,936,108781,35-39,1,22,8504,3,3.340000093,1,1,0.0353,1.11,3.34,3.34,0.39
122,737320,936,109553,35-39,0,63,5676,2,3.00999999,1,0,0.0352,1.51,3.01,3.00999999,0.53
178,747828,936,110939,30-34,1,22,28488,10,9.340000033,1,0,0.0351,0.93,9.34,9.340000033,0.33
276,777235,936,115637,30-34,0,65,2883,1,0.99000001,1,1,0.0347,0.99,0.99,0.99,0.34
485,951391,936,123659,30-34,1,28,2879,1,1.590000033,2,2,0.0347,1.59,0.795,0.795,0.55
377,781066,936,116323,40-44,1,22,5794,2,2.269999981,1,0,0.0345,1.14,2.27,2.269999981,0.39
356,780318,936,116183,45-49,1,29,162341,56,77.07999969,3,0,0.0345,1.38,25.6933,77.07999969,0.47
152,738648,936,109859,45-49,1,26,111090,38,51.97000027,5,1,0.0342,1.37,10.394,51.97,0.47
66,734381,936,108683,35-39,0,20,2938,1,1.350000024,1,1,0.034,1.35,1.35,1.35,0.46
466,950878,936,123573,40-44,0,10,2967,1,1.5,1,1,0.0337,1.50,1.5,1.5,0.51
311,778422,936,115848,40-44,1,20,11911,4,3.959999919,1,0,0.0336,0.99,3.96,3.959999919,0.33
491,951444,936,123668,30-34,1,25,2983,1,0.970000029,1,0,0.0335,0.97,0.97,0.970000029,0.33
323,778722,936,115898,35-39,1,64,41785,14,19.10000038,1,0,0.0335,1.36,19.1,19.10000038,0.46
306,778161,936,115804,30-34,0,28,17954,6,7.5400002,2,1,0.0334,1.26,3.77,7.54,0.42
102,735143,936,108810,40-44,1,27,39035,13,19.32999957,1,0,0.0333,1.49,19.33,19.32999957,0.5
137,738307,936,109788,35-39,1,31,3010,1,0.860000014,1,1,0.0332,0.86,0.86,0.86,0.29
138,738389,936,109808,40-44,1,10,27081,9,10.77000046,1,1,0.0332,1.20,10.77,10.77,0.4
280,777398,936,115677,35-39,0,24,3029,1,1.049999952,1,1,0.033,1.05,1.05,1.05,0.35
219,776469,936,115509,45-49,1,28,45397,15,25.41999936,1,1,0.033,1.69,25.42,25.42,0.56
383,781195,936,116345,35-39,1,63,18234,6,7.810000062,1,0,0.0329,1.30,7.81,7.810000062,0.43
405,781999,936,116479,30-34,0,24,9142,3,3.749999881,1,0,0.0328,1.25,3.75,3.749999881,0.41
397,781690,936,116427,45-49,1,26,115896,38,49.44000006,1,0,0.0328,1.30,49.44,49.44000006,0.43
112,735298,936,108836,45-49,1,29,85412,28,38.63999999,2,1,0.0328,1.38,19.32,38.64,0.45
279,777382,936,115675,40-44,0,24,3047,1,1.379999995,1,0,0.0328,1.38,1.38,1.379999995,0.45
399,781857,936,116455,30-34,0,20,9134,3,4.180000067,2,0,0.0328,1.39,2.09,4.180000067,0.46
419,782407,936,116547,45-49,1,10,33664,11,12.51000035,1,0,0.0327,1.14,12.51,12.51000035,0.37
111,735290,936,108834,45-49,1,27,12215,4,6.26000011,1,0,0.0327,1.57,6.26,6.26000011,0.51
146,738582,936,109848,45-49,1,10,46150,15,20.17999983,1,1,0.0325,1.35,20.18,20.18,0.44
201,748295,936,111016,45-49,1,27,9240,3,6.039999962,1,0,0.0325,2.01,6.04,6.039999962,0.65
259,776817,936,115567,40-44,0,10,12356,4,6.279999971,1,0,0.0324,1.57,6.28,6.279999971,0.51
94,735014,936,108788,35-39,1,29,12403,4,5.210000038,1,1,0.0323,1.30,5.21,5.21,0.42
326,778804,936,115912,30-34,0,26,6184,2,2.75,1,1,0.0323,1.38,2.75,2.75,0.44
141,738423,936,109816,40-44,1,18,21664,7,10.61999977,1,1,0.0323,1.52,10.62,10.62,0.49
346,779824,936,116095,45-49,0,7,9375,3,4.019999981,1,0,0.032,1.34,4.02,4.019999981,0.43
500,951608,936,123695,40-44,1,10,3149,1,1.480000019,1,0,0.0318,1.48,1.48,1.480000019,0.47
300,778087,936,115792,30-34,0,26,15910,5,6.779999852,1,0,0.0314,1.36,6.78,6.779999852,0.43
273,777198,936,115631,30-34,0,64,12729,4,5.779999852,1,0,0.0314,1.45,5.78,5.779999852,0.45
224,776489,936,115512,45-49,1,26,175389,55,81.60999787,1,0,0.0314,1.48,81.61,81.60999787,0.47
106,735213,936,108822,45-49,1,10,73634,23,32.97999978,1,0,0.0312,1.43,32.98,32.97999978,0.45
168,747645,936,110908,45-49,0,10,9674,3,4.600000024,1,1,0.031,1.53,4.6,4.6,0.48
238,776623,936,115535,45-49,0,64,19353,6,9.4799999,1,1,0.031,1.58,9.48,9.48,0.49
372,780821,936,116277,30-34,1,23,6469,2,1.309999943,1,0,0.0309,0.66,1.31,1.309999943,0.2
149,738598,936,109851,45-49,1,18,12956,4,5.49000001,1,1,0.0309,1.37,5.49,5.49,0.42
379,781159,936,116339,40-44,1,10,85285,26,36.13000035,1,0,0.0305,1.39,36.13,36.13000035,0.42
187,748000,936,110967,35-39,1,26,6585,2,2.950000048,1,0,0.0304,1.48,2.95,2.950000048,0.45
105,735189,936,108818,40-44,1,64,9965,3,4.050000072,1,0,0.0301,1.35,4.05,4.050000072,0.41
56,734210,936,108654,30-34,0,10,13329,4,5.629999995,1,1,0.03,1.41,5.63,5.63,0.42
131,737931,936,109698,30-34,1,20,3343,1,0.540000021,1,0,0.0299,0.54,0.54,0.540000021,0.16
310,778421,936,115848,40-44,1,20,6699,2,3.090000033,1,0,0.0299,1.55,3.09,3.090000033,0.46
387,781327,936,116367,35-39,1,29,164754,49,67.97999978,2,1,0.0297,1.39,33.99,67.98,0.41
93,734999,936,108786,35-39,1,27,20277,6,8.050000072,1,0,0.0296,1.34,8.05,8.050000072,0.4
179,747852,936,110943,30-34,1,26,10126,3,4.619999886,1,0,0.0296,1.54,4.62,4.619999886,0.46
400,781858,936,116455,30-34,0,20,3385,1,1.440000057,1,1,0.0295,1.44,1.44,1.44,0.43
148,738593,936,109850,45-49,1,16,92011,27,34.39000046,2,1,0.0293,1.27,17.195,34.39,0.37
258,776799,936,115564,45-49,0,20,10257,3,3.579999924,1,1,0.0292,1.19,3.58,3.58,0.35
371,780799,936,116273,30-34,1,22,44699,13,17.30000037,2,0,0.0291,1.33,8.65,17.30000037,0.39
369,780760,936,116267,45-49,1,18,17167,5,6.910000086,1,0,0.0291,1.38,6.91,6.910000086,0.4
101,735140,936,108809,40-44,1,26,6907,2,2.349999964,1,0,0.029,1.18,2.35,2.349999964,0.34
212,776353,936,115490,40-44,1,63,27559,8,13.37,1,0,0.029,1.67,13.37,13.37,0.49
200,748294,936,111016,45-49,1,27,82827,24,47.93000031,3,0,0.029,2.00,15.9767,47.93000031,0.58
281,777410,936,115679,45-49,0,26,3490,1,1.340000033,1,1,0.0287,1.34,1.34,1.34,0.38
76,734726,936,108740,45-49,0,29,10466,3,4.090000033,1,0,0.0287,1.36,4.09,4.090000033,0.39
107,735220,936,108823,45-49,1,15,69708,20,31.28999949,1,0,0.0287,1.56,31.29,31.28999949,0.45
370,780797,936,116273,30-34,1,22,24491,7,9.539999962,1,0,0.0286,1.36,9.54,9.539999962,0.39
265,776892,936,115580,40-44,0,63,17488,5,7.719999909,1,0,0.0286,1.54,7.72,7.719999909,0.44
206,776322,936,115485,45-49,1,16,119063,34,53.21999949,1,0,0.0286,1.57,53.22,53.21999949,0.45
357,780323,936,116183,45-49,1,29,24542,7,9.329999924,1,0,0.0285,1.33,9.33,9.329999924,0.38
516,952031,936,123765,40-44,1,16,28169,8,12.36999989,1,1,0.0284,1.55,12.37,12.37,0.44
246,776668,936,115542,40-44,0,19,3523,1,1.809999943,1,1,0.0284,1.81,1.81,1.81,0.51
227,776519,936,115517,45-49,1,65,70702,20,31.7099998,1,0,0.0283,1.59,31.71,31.7099998,0.45
336,779609,936,116059,35-39,1,15,7116,2,1.730000019,1,1,0.0281,0.87,1.73,1.73,0.24
418,782337,936,116535,45-49,1,16,104578,29,39.25000095,1,1,0.0277,1.35,39.25,39.25,0.38
153,747212,936,110836,30-34,0,10,7208,2,3.190000057,1,0,0.0277,1.60,3.19,3.190000057,0.44
297,778037,936,115784,35-39,0,27,14615,4,6.050000191,1,0,0.0274,1.51,6.05,6.050000191,0.41
216,776416,936,115500,45-49,1,19,3659,1,0.49000001,1,1,0.0273,0.49,0.49,0.49,0.13
331,779438,936,116031,30-34,1,64,33144,9,13.40999985,1,0,0.0272,1.49,13.41,13.40999985,0.4
385,781303,936,116363,35-39,1,27,73676,20,28.5,1,0,0.0271,1.43,28.5,28.5,0.39
210,776336,936,115487,45-49,1,10,22216,6,9.549999952,1,0,0.027,1.59,9.55,9.549999952,0.43
484,951334,936,123649,30-34,1,64,3717,1,1.539999962,1,0,0.0269,1.54,1.54,1.539999962,0.41
195,748225,936,111005,45-49,1,15,18602,5,8.860000134,1,0,0.0269,1.77,8.86,8.860000134,0.48
334,779573,936,116053,35-39,1,10,89527,24,32.28999996,1,0,0.0268,1.35,32.29,32.28999996,0.36
126,737657,936,109633,45-49,0,18,7478,2,2.900000095,1,1,0.0267,1.45,2.9,2.9,0.39
423,782647,936,116587,40-44,1,27,11244,3,4.550000191,1,0,0.0267,1.52,4.55,4.550000191,0.4
272,777187,936,115629,40-44,0,27,11292,3,5.389999866,1,1,0.0266,1.80,5.39,5.39,0.48
493,951462,936,123671,45-49,1,16,7589,2,3.150000095,1,1,0.0264,1.58,3.15,3.15,0.42
202,748303,936,111018,45-49,1,29,7706,2,2.369999886,1,0,0.026,1.19,2.37,2.369999886,0.31
428,782815,936,116615,40-44,1,10,11537,3,4.300000191,1,0,0.026,1.43,4.3,4.300000191,0.37
72,734582,936,108716,40-44,0,29,7709,2,1.320000052,2,0,0.0259,0.66,0.66,1.320000052,0.17
345,779789,936,116089,45-49,0,10,11611,3,3.950000048,1,1,0.0258,1.32,3.95,3.95,0.34
117,736988,936,109472,30-34,0,28,3891,1,1.090000033,1,0,0.0257,1.09,1.09,1.090000033,0.28
284,777519,936,115697,45-49,0,29,19537,5,6.099999905,1,0,0.0256,1.22,6.1,6.099999905,0.31
343,779738,936,116081,30-34,1,28,15645,4,5.349999905,1,0,0.0256,1.34,5.35,5.349999905,0.34
299,778085,936,115792,30-34,0,26,11735,3,4.529999971,1,1,0.0256,1.51,4.53,4.53,0.39
174,747791,936,110932,30-34,1,10,31393,8,10.96000051,1,1,0.0255,1.37,10.96,10.96,0.35
309,778266,936,115822,40-44,1,27,74542,19,34.1500001,1,0,0.0255,1.80,34.15,34.1500001,0.46
86,734866,936,108764,30-34,1,29,11803,3,4.440000057,1,0,0.0254,1.48,4.44,4.440000057,0.38
208,776325,936,115485,45-49,1,16,452398,114,180.2200012,1,0,0.0252,1.58,180.22,180.2200012,0.4
277,777248,936,115639,30-34,1,7,3989,1,1.279999971,1,0,0.0251,1.28,1.28,1.279999971,0.32
209,776334,936,115487,45-49,1,10,191223,48,76.41000056,1,0,0.0251,1.59,76.41,76.41000056,0.4
196,748230,936,111006,45-49,1,16,83929,21,27.72999954,4,1,0.025,1.32,6.9325,27.73,0.33
237,776615,936,115533,45-49,0,63,11988,3,4.269999862,1,0,0.025,1.42,4.27,4.269999862,0.36
382,781187,936,116343,40-44,1,16,164118,41,59.06999993,1,0,0.025,1.44,59.07,59.06999993,0.36
228,776533,936,115520,45-49,1,63,63927,16,25.52000046,2,0,0.025,1.60,12.76,25.52000046,0.4
431,950068,936,123438,30-34,0,10,4012,1,1.570000052,1,0,0.0249,1.57,1.57,1.570000052,0.39
324,778737,936,115900,35-39,0,27,8077,2,3.579999924,1,1,0.0248,1.79,3.58,3.58,0.44
71,734433,936,108692,35-39,0,29,12158,3,4.449999928,1,0,0.0247,1.48,4.45,4.449999928,0.37
429,782816,936,116615,40-44,1,10,12183,3,2.869999945,1,0,0.0246,0.96,2.87,2.869999945,0.24
509,951812,936,123729,35-39,1,16,16274,4,6.079999924,2,0,0.0246,1.52,3.04,6.079999924,0.37
110,735289,936,108834,45-49,1,27,20362,5,9.119999886,1,1,0.0246,1.82,9.12,9.12,0.45
140,738413,936,109813,40-44,1,16,147159,36,58.16000044,3,1,0.0245,1.62,19.3867,58.16,0.4
199,748235,936,111006,45-49,1,16,102695,25,39.42999983,3,0,0.0243,1.58,13.1433,39.42999983,0.38
407,782022,936,116483,30-34,1,18,8254,2,2.320000052,1,1,0.0242,1.16,2.32,2.32,0.28
198,748233,936,111006,45-49,1,16,78627,19,26.53000045,1,0,0.0242,1.40,26.53,26.53000045,0.34
425,782694,936,116595,35-39,1,29,29035,7,8.910000086,2,2,0.0241,1.27,4.455,4.455,0.31
194,748091,936,110982,40-44,1,16,41720,10,12.06000006,1,1,0.024,1.21,12.06,12.06,0.29
175,747795,936,110933,30-34,1,15,8410,2,2.359999895,1,1,0.0238,1.18,2.36,2.36,0.28
197,748231,936,111006,45-49,1,16,25194,6,7.349999905,1,0,0.0238,1.23,7.35,7.349999905,0.29
192,748087,936,110982,40-44,1,16,29466,7,10.84999967,2,0,0.0238,1.55,5.425,10.84999967,0.37
348,779918,936,116111,30-34,1,18,8469,2,3.089999914,1,0,0.0236,1.55,3.09,3.089999914,0.36
226,776515,936,115517,45-49,1,65,12706,3,4.98999989,1,1,0.0236,1.66,4.99,4.99,0.39
147,738592,936,109850,45-49,1,16,493821,116,176.3799977,4,1,0.0235,1.52,44.095,176.38,0.36
87,734881,936,108766,30-34,1,31,4259,1,1.570000052,1,1,0.0235,1.57,1.57,1.57,0.37
252,776698,936,115547,30-34,0,10,12785,3,4.730000019,2,1,0.0235,1.58,2.365,4.73,0.37
191,748086,936,110982,40-44,1,16,34127,8,13.07000017,1,0,0.0234,1.63,13.07,13.07000017,0.38
193,748089,936,110982,40-44,1,16,38759,9,10.84999967,1,0,0.0232,1.21,10.85,10.84999967,0.28
207,776323,936,115485,45-49,1,16,99078,23,35.79999948,2,0,0.0232,1.56,17.9,35.79999948,0.36
268,777105,936,115615,45-49,0,63,4333,1,0.180000007,1,1,0.0231,0.18,0.18,0.18,0.04
91,734939,936,108776,35-39,1,16,104648,24,33.33000004,4,2,0.0229,1.39,8.3325,16.665,0.32
84,734854,936,108762,30-34,1,27,57022,13,20.29000032,3,3,0.0228,1.56,6.7633,6.7633,0.36
211,776338,936,115487,45-49,1,10,48291,11,18.01999998,1,0,0.0228,1.64,18.02,18.01999998,0.37
1018,1122244,1178,144731,45-49,1,24,85083,32,38.62999976,1,1,0.0376,1.21,38.63,38.63,0.45
1019,1122246,1178,144731,45-49,1,24,14167,5,7.139999986,1,0,0.0353,1.43,7.14,7.139999986,0.5
964,1122101,1178,144707,40-44,1,25,197772,63,88.21000016,7,2,0.0319,1.40,12.6014,44.105,0.45
1017,1122240,1178,144730,45-49,1,23,284488,90,125.2700011,1,1,0.0316,1.39,125.27,125.27,0.44
977,1122131,1178,144712,40-44,1,30,93176,29,40.37000024,1,1,0.0311,1.39,40.37,40.37,0.43
1037,1122279,1178,144737,45-49,1,30,113567,34,50.29000044,3,0,0.0299,1.48,16.7633,50.29000044,0.44
989,1122176,1178,144719,40-44,1,2,74424,22,30.84000027,1,1,0.0296,1.40,30.84,30.84,0.41
991,1122182,1178,144720,40-44,1,7,40801,12,15.91999972,0,0,0.0294,1.33,15.91999972,15.91999972,0.39
924,1121948,1178,144681,35-39,1,24,118941,35,50.11000001,4,1,0.0294,1.43,12.5275,50.11,0.42
1011,1122223,1178,144727,45-49,1,20,368480,107,140.4200011,5,4,0.029,1.31,28.084,35.105,0.38
1014,1122227,1178,144728,45-49,1,21,183293,53,73.74999964,2,1,0.0289,1.39,36.875,73.75,0.4
1021,1122253,1178,144732,45-49,1,25,449921,129,175.9700005,5,1,0.0287,1.36,35.194,175.97,0.39
332,779453,936,116033,45-49,0,64,4397,1,0.949999988,1,0,0.0227,0.95,0.95,0.949999988,0.22
347,779871,936,116103,30-34,1,32,4402,1,1.330000043,1,1,0.0227,1.33,1.33,1.33,0.3
104,735184,936,108817,40-44,1,63,4412,1,1.450000048,1,0,0.0227,1.45,1.45,1.450000048,0.33
64,734352,936,108678,35-39,0,10,4423,1,1.460000038,1,1,0.0226,1.46,1.46,1.46,0.33
292,777794,936,115743,30-34,0,18,13473,3,2.619999945,3,0,0.0223,0.87,0.8733,2.619999945,0.19
83,734852,936,108761,30-34,1,26,13479,3,4.25,1,0,0.0223,1.42,4.25,4.25,0.32
17,709115,916,103978,30-34,0,30,2305,1,0.569999993,1,0,0.0434,0.57,0.57,0.569999993,0.25
328,778964,936,115938,35-39,1,27,112460,25,41.29000068,1,0,0.0222,1.65,41.29,41.29000068,0.37
180,747859,936,110944,30-34,1,27,22572,5,8.5,1,0,0.0222,1.70,8.5,8.5,0.38
57,734215,936,108655,30-34,0,15,13659,3,3.840000033,1,0,0.022,1.28,3.84,3.840000033,0.28
359,780498,936,116218,30-34,1,64,13621,3,4.090000033,1,0,0.022,1.36,4.09,4.090000033,0.3
125,737644,936,109629,45-49,0,16,45401,10,14.06000042,1,0,0.022,1.41,14.06,14.06000042,0.31
374,780835,936,116279,45-49,1,16,54724,12,17.92999995,1,1,0.0219,1.49,17.93,17.93,0.33
160,747362,936,110861,35-39,0,15,4607,1,1.149999976,1,1,0.0217,1.15,1.15,1.15,0.25
29,709756,916,104085,40-44,0,16,10976,2,1.690000057,1,1,0.0182,0.85,1.69,1.69,0.15
294,777871,936,115756,30-34,0,20,4616,1,1.360000014,1,0,0.0217,1.36,1.36,1.360000014,0.29
495,951465,936,123671,45-49,1,16,4617,1,1.360000014,1,0,0.0217,1.36,1.36,1.360000014,0.29
481,951285,936,123641,35-39,1,16,9297,2,2.619999886,2,1,0.0215,1.31,1.31,2.62,0.28
305,778156,936,115804,30-34,0,28,9388,2,3.140000105,1,0,0.0213,1.57,3.14,3.140000105,0.33
375,780867,936,116285,30-34,1,21,4706,1,1.220000029,1,0,0.0212,1.22,1.22,1.220000029,0.26
2,708749,916,103917,30-34,0,16,17861,2,1.820000023,2,0,0.0112,0.91,0.91,1.820000023,0.1
298,778048,936,115786,30-34,0,27,56615,12,19.88000035,2,0,0.0212,1.66,9.94,19.88000035,0.35
290,777742,936,115735,35-39,0,64,4726,1,1.830000043,1,1,0.0212,1.83,1.83,1.83,0.39
416,782242,936,116519,30-34,1,28,4783,1,0.860000014,1,0,0.0209,0.86,0.86,0.860000014,0.18
286,777627,936,115715,45-49,0,16,157534,33,56.19000077,2,0,0.0209,1.70,28.095,56.19000077,0.36
378,781114,936,116331,40-44,1,18,4813,1,1.029999971,1,0,0.0208,1.03,1.03,1.029999971,0.21
314,778483,936,115858,40-44,1,18,24188,5,8.179999828,1,0,0.0207,1.64,8.18,8.179999828,0.34
266,776928,936,115586,35-39,0,10,9750,2,1.5,1,1,0.0205,0.75,1.5,1.5,0.15
278,777261,936,115641,40-44,0,29,19603,4,5.279999971,1,1,0.0204,1.32,5.28,5.28,0.27
127,737658,936,109633,45-49,0,18,4919,1,1.590000033,1,0,0.0203,1.59,1.59,1.590000033,0.32
167,747514,936,110886,40-44,0,16,14843,3,2.939999938,1,1,0.0202,0.98,2.94,2.94,0.2
285,777625,936,115715,45-49,0,16,59433,12,19.65999949,3,0,0.0202,1.64,6.5533,19.65999949,0.33
354,780104,936,116147,30-34,1,25,4971,1,1.230000019,1,1,0.0201,1.23,1.23,1.23,0.25
476,951133,936,123616,35-39,0,16,9948,2,2.720000029,2,0,0.0201,1.36,1.36,2.720000029,0.27
134,738006,936,109717,30-34,1,27,34740,7,13.41000009,1,1,0.0201,1.92,13.41,13.41,0.39
473,951046,936,123601,30-34,1,16,20050,4,4.659999847,4,1,0.02,1.17,1.165,4.66,0.23
261,776829,936,115569,45-49,0,16,140098,28,46.63000011,1,0,0.02,1.67,46.63,46.63000011,0.33
90,734925,936,108774,35-39,1,10,5024,1,1.409999967,1,1,0.0199,1.41,1.41,1.41,0.28
229,776534,936,115520,45-49,1,63,15105,3,4.25999999,1,0,0.0199,1.42,4.26,4.25999999,0.28
312,778461,936,115854,40-44,0,29,10090,2,2.650000095,1,1,0.0198,1.33,2.65,2.65,0.26
10,708958,916,103952,30-34,0,28,9502,3,3.159999967,1,0,0.0316,1.05,3.16,3.159999967,0.33
139,738408,936,109813,40-44,1,16,20233,4,5.590000153,3,0,0.0198,1.40,1.8633,5.590000153,0.28
393,781508,936,116397,30-34,1,63,5040,1,1.440000057,1,0,0.0198,1.44,1.44,1.440000057,0.29
188,748007,936,110968,35-39,1,27,10164,2,3.720000029,1,1,0.0197,1.86,3.72,3.72,0.37
341,779715,936,116077,30-34,1,29,20409,4,3.829999924,1,0,0.0196,0.96,3.83,3.829999924,0.19
176,747798,936,110934,30-34,1,16,25884,5,7.350000143,1,0,0.0193,1.47,7.35,7.350000143,0.28
291,777758,936,115737,30-34,0,19,5209,1,0.959999979,2,0,0.0192,0.96,0.48,0.959999979,0.18
50,711623,916,104396,40-44,1,15,3812,1,1.129999995,2,1,0.0262,1.13,0.565,1.13,0.3
